"State","Date","New Cases","Estimated Effective R","95% CI Low","95% CI High"
"New Mexico",2020-03-13,4,0.866351622973833,-0.0493356139408259,1.78203885988849
"New Mexico",2020-03-14,3,0.916792754425872,-0.169977483071765,2.00356299192351
"New Mexico",2020-03-15,4,0.965842081285545,0.000455187727148365,1.93122897484394
"New Mexico",2020-03-16,4,1.01342092188108,0.0250470190181925,2.00179482474396
"New Mexico",2020-03-17,2,1.0592629523496,-0.369200633949107,2.4877265386483
"New Mexico",2020-03-18,5,1.10298272060558,0.18137756646142,2.02458787474974
"New Mexico",2020-03-19,7,1.14417019301296,0.35105855327441,1.9372818327515
"New Mexico",2020-03-20,8,1.18246694541934,0.428412045951858,1.93652184488681
"New Mexico",2020-03-21,14,1.21759068065576,0.639263503118581,1.79591785819295
"New Mexico",2020-03-22,8,1.24932786119216,0.474459307016662,2.02419641536767
"New Mexico",2020-03-23,18,1.27752533235804,0.755198143880342,1.79985252083574
"New Mexico",2020-03-24,17,1.30211691133152,0.759537807166104,1.84469601549694
"New Mexico",2020-03-25,13,1.323137502226,0.697721670660968,1.94855333379102
"New Mexico",2020-03-26,23,1.34072969094919,0.867441484776156,1.81401789712222
"New Mexico",2020-03-27,55,1.35509916894095,1.04741288524057,1.66278545264133
"New Mexico",2020-03-28,19,1.3664000470457,0.840741095790301,1.89205899830111
"New Mexico",2020-03-29,27,1.37464262862059,0.932364615670763,1.81692064157041
"New Mexico",2020-03-30,45,1.37967893205678,1.0364708380469,1.72288702606666
"New Mexico",2020-03-31,33,1.38129980349441,0.980289080497648,1.78231052649117
"New Mexico",2020-04-01,48,1.37934415081729,1.04708230626899,1.7116059953656
"New Mexico",2020-04-02,40,1.37379718621707,1.01055754271672,1.73703682971743
"New Mexico",2020-04-03,92,1.36483777908842,1.12610786698804,1.60356769118881
"New Mexico",2020-04-04,51,1.35284543893904,1.03361925431403,1.67207162356405
"New Mexico",2020-04-05,80,1.33837153939006,1.08485698105156,1.59188609772855
"New Mexico",2020-04-06,62,1.32211417643771,1.03589494170998,1.60833341116545
"New Mexico",2020-04-07,108,1.30490484349509,1.08945870563787,1.52035098135231
"New Mexico",2020-04-08,71,1.28765728902264,1.02370024497962,1.55161433306567
"New Mexico",2020-04-09,124,1.27127495690182,1.07281530825199,1.46973460555165
"New Mexico",2020-04-10,101,1.25652639819269,1.03790673130624,1.47514606507914
"New Mexico",2020-04-11,84,1.24393299482387,1.0054137409102,1.48245224873754
"New Mexico",2020-04-12,71,1.23371834319063,0.975347436486944,1.49208924989432
"New Mexico",2020-04-13,100,1.22583530899068,1.00882480425958,1.44284581372178
"New Mexico",2020-04-14,62,1.2200386087106,0.945087578616769,1.49498963880443
"New Mexico",2020-04-15,77,1.21596734516144,0.969658754029671,1.46227593629321
"New Mexico",2020-04-16,113,1.21319472722713,1.01010430057513,1.41628515387914
"New Mexico",2020-04-17,114,1.21125690442625,1.00922101462079,1.41329279423172
"New Mexico",2020-04-18,87,1.20965723880483,0.978539236175757,1.4407752414339
"New Mexico",2020-04-19,47,1.20790133353742,0.893685161522416,1.52211750555243
"New Mexico",2020-04-20,126,1.20557890368179,1.0138560595925,1.39730174777109
"New Mexico",2020-04-21,101,1.20243712515653,0.988576191507676,1.41629805880538
"New Mexico",2020-04-22,138,1.19839293520892,1.0157425124174,1.38104335800044
"New Mexico",2020-04-23,169,1.19345212045352,1.02874234422019,1.35816189668685
"New Mexico",2020-04-24,145,1.18759938014767,1.01021685594339,1.36498190435194
"New Mexico",2020-04-25,138,1.1807148505333,0.999417061589727,1.36201263947687
"New Mexico",2020-04-26,66,1.17259614355056,0.911342935003465,1.43384935209765
"New Mexico",2020-04-27,95,1.16307770965772,0.946206475253016,1.37994894406243
"New Mexico",2020-04-28,150,1.15217067327752,0.98039077092299,1.32395057563205
"New Mexico",2020-04-29,238,1.14013511259292,1.00447582228395,1.2757944029019
"New Mexico",2020-04-30,198,1.12740094708107,0.979501423228227,1.27530047093392
"New Mexico",2020-05-01,102,1.11443248009681,0.90955828470779,1.31930667548584
"New Mexico",2020-05-02,219,1.10161079088307,0.96259864319748,1.24062293856867
"New Mexico",2020-05-03,118,1.08919682015087,0.900886935840752,1.27750670446098
"New Mexico",2020-05-04,180,1.07734847062987,0.925712240555878,1.22898470070386
"New Mexico",2020-05-05,107,1.06615139502738,0.870501842557183,1.26180094749758
"New Mexico",2020-05-06,153,1.05565797393023,0.892849363954066,1.21846658390639
"New Mexico",2020-05-07,202,1.04589627917997,0.904860196829982,1.18693236152996
"New Mexico",2020-05-08,181,1.03686358179073,0.888515042641258,1.1852121209402
"New Mexico",2020-05-09,105,1.02849834500309,0.83451293927734,1.22248375072884
"New Mexico",2020-05-10,85,1.02069852815621,0.805914795116475,1.23548226119593
"New Mexico",2020-05-11,206,1.01337806072746,0.875905986756984,1.15085013469794
"New Mexico",2020-05-12,143,1.00651278228149,0.842074001450262,1.17095156311272
"New Mexico",2020-05-13,152,1.00014832555969,0.841157041575125,1.15913960954426
"New Mexico",2020-05-14,139,0.99436296277266,0.8285844450069,1.16014148053842
"New Mexico",2020-05-15,159,0.989240005701541,0.834637787612256,1.14384222379083
"New Mexico",2020-05-16,185,0.984840094160241,0.841831972282184,1.1278482160383
"New Mexico",2020-05-17,91,0.981189138825334,0.777663254120917,1.18471502352975
"New Mexico",2020-05-18,158,0.978292645321959,0.824062192135861,1.13252309850806
"New Mexico",2020-05-19,96,0.97618065312745,0.778531897831029,1.17382940842387
"New Mexico",2020-05-20,146,0.974955266765199,0.814785403985671,1.13512512954473
"New Mexico",2020-05-21,134,0.974805793774497,0.807630648151011,1.14198093939798
"New Mexico",2020-05-22,177,0.975960782879911,0.8304166887275,1.12150487703232
"New Mexico",2020-05-23,170,0.978586225454381,0.829876332043975,1.12729611886479
"New Mexico",2020-05-24,148,0.982675063022579,0.822962756065397,1.14238736997976
"New Mexico",2020-05-25,59,0.987972374430719,0.734336905052833,1.2416078438086
"New Mexico",2020-05-26,105,0.993986153785528,0.803282795382367,1.18468951218869
"New Mexico",2020-05-27,122,1.00006013280174,0.822602282866513,1.17751798273696
"New Mexico",2020-05-28,112,1.00545743968225,0.81974786791447,1.19116701145002
"New Mexico",2020-05-29,129,1.00943323504267,0.836050830470387,1.18281563961496
"New Mexico",2020-05-30,131,1.01131706704311,0.83910282637868,1.18353130770754
"New Mexico",2020-05-31,65,1.01061691280427,0.766218711236973,1.25501511437157
"New Mexico",2020-06-01,111,1.00715193725054,0.820450284377329,1.19385359012375
"New Mexico",2020-06-02,224,1.00116834533825,0.870131703235946,1.13220498744055
"New Mexico",2020-06-03,116,0.993351053978033,0.811972141646968,1.1747299663091
"New Mexico",2020-06-04,213,0.984721753088866,0.851451710119884,1.11799179605785
"New Mexico",2020-06-05,319,0.9764356822077,0.867994803747043,1.08487656066836
"New Mexico",2020-06-06,128,0.969532365482988,0.798946351460254,1.14011837950572
"New Mexico",2020-06-07,139,0.964747668957766,0.801454825152159,1.12804051276337
"New Mexico",2020-06-08,122,0.962452049790089,0.788360560192531,1.13654353938765
"New Mexico",2020-06-09,44,0.962728942723895,0.672798605704761,1.25265927974303
"New Mexico",2020-06-10,145,0.965508548636634,0.805566732630424,1.12545036464284
"New Mexico",2020-06-11,118,0.970672929364909,0.792900952043746,1.14844490668607
"New Mexico",2020-06-12,158,0.978090915135788,0.823875176200759,1.13230665407082
"New Mexico",2020-06-13,95,0.987591183596397,0.787745809594163,1.18743655759863
"New Mexico",2020-06-14,101,0.998930655860687,0.804002827177444,1.19385848454393
"New Mexico",2020-06-15,141,1.01177665273037,0.845741860565776,1.17781144489497
"New Mexico",2020-06-16,88,1.02571778666741,0.814106732471232,1.2373288408636
"New Mexico",2020-06-17,132,1.04028497078372,0.86628293613336,1.21428700543409
"New Mexico",2020-06-18,88,1.05498062122259,0.840372856737098,1.26958838570808
"New Mexico",2020-06-19,107,1.06932588049206,0.873384074857388,1.26526768612673
"New Mexico",2020-06-20,170,1.08289629812322,0.926461843548692,1.23933075269774
"New Mexico",2020-06-21,116,1.09534996251123,0.904887041417708,1.28581288360476
"New Mexico",2020-06-22,170,1.10643848932264,0.948313036552376,1.26456394209291
"New Mexico",2020-06-23,103,1.11602276633762,0.911999262521496,1.32004627015375
"New Mexico",2020-06-24,158,1.12409751949843,0.958773689876478,1.28942134912039
"New Mexico",2020-06-25,202,1.13079277665648,0.984144301886365,1.2774412514266
"New Mexico",2020-06-26,210,1.13633132063705,0.992151578796327,1.28051106247777
"New Mexico",2020-06-27,211,1.14093313343406,0.996804621783116,1.285061645085
"New Mexico",2020-06-28,197,1.14472083555061,0.995311644477844,1.29413002662337
"New Mexico",2020-06-29,173,1.14767716021607,0.988035196526752,1.3073191239054
"New Mexico",2020-06-30,165,1.14967584582366,0.986067431404211,1.31328426024311
"New Mexico",2020-07-01,129,1.15057496755472,0.965468221673024,1.33568171343641
"New Mexico",2020-07-02,244,1.15031100261424,1.01573358978562,1.28488841544287
"New Mexico",2020-07-03,256,1.14894941973729,1.01764184247133,1.28025699700325
"New Mexico",2020-07-04,287,1.14665695285526,1.02276730556752,1.27054660014301
"New Mexico",2020-07-05,193,1.14363482634854,0.992757441181168,1.29451221151591
"New Mexico",2020-07-06,251,1.1400638357013,1.00796872299336,1.27215894840924
"New Mexico",2020-07-07,220,1.13608978071369,0.995240732667,1.27693882876038
"New Mexico",2020-07-08,290,1.13182706504305,1.00937958177873,1.25427454830737
"New Mexico",2020-07-09,234,1.1273538869916,0.991309410604844,1.26339836337836
"New Mexico",2020-07-10,298,1.12270032552106,1.00239568560126,1.24300496544086
"New Mexico",2020-07-11,224,1.11783501158197,0.97937533707913,1.25629468608481
"New Mexico",2020-07-12,255,1.11267826423174,0.983207098988092,1.24214942947539
"New Mexico",2020-07-13,263,1.10712819284819,0.97995976032806,1.23429662536833
"New Mexico",2020-07-14,223,1.10109241594542,0.963365891284003,1.23881894060684
"New Mexico",2020-07-15,327,1.09450175254491,0.981107150264748,1.20789635482508
"New Mexico",2020-07-16,297,1.08729129463304,0.968700045784615,1.20588254348147
"New Mexico",2020-07-17,318,1.07935925772799,0.965169475833205,1.19354903962278
"New Mexico",2020-07-18,280,1.07053027928085,0.949337106713999,1.1917234518477
"New Mexico",2020-07-19,235,1.06055875163983,0.928887466337793,1.19223003694187
"New Mexico",2020-07-20,244,1.0491799002926,0.920654864236361,1.17770493634884
"New Mexico",2020-07-21,302,1.03619164932009,0.921383063502523,1.15100023513766
"New Mexico",2020-07-22,311,1.02152400820487,0.909192360002792,1.13385565640695
"New Mexico",2020-07-23,335,1.00527214178153,0.89790341287318,1.11264087068989
"New Mexico",2020-07-24,312,0.987704391713362,0.877424827403635,1.09798395602309
"New Mexico",2020-07-25,313,0.969247168825542,0.860177379264315,1.07831695838677
"New Mexico",2020-07-26,265,0.950466420355467,0.833083372256518,1.06784946845442
"New Mexico",2020-07-27,449,0.932021434561105,0.842721683995183,1.02132118512703
"New Mexico",2020-07-28,282,0.914581418647834,0.802959993362356,1.02620284393331
"New Mexico",2020-07-29,364,0.898714752385128,0.80132314410708,0.996106360663175
"New Mexico",2020-07-30,252,0.884793486531668,0.768653374833817,1.00093359822952
"New Mexico",2020-07-31,212,0.872949771226015,0.747176480847049,0.998723061604981
"New Mexico",2020-08-01,177,0.863099356292665,0.726230190822279,0.99996852176305
"New Mexico",2020-08-02,234,0.85501745036541,0.73653840516198,0.97349649556884
"New Mexico",2020-08-03,114,0.848426651670376,0.679337062283316,1.01751624105743
"New Mexico",2020-08-04,210,0.843076157853445,0.718886307672183,0.967266008034708
"New Mexico",2020-08-05,226,0.838784399654287,0.719376366511837,0.958192432796737
"New Mexico",2020-08-06,207,0.835444743705998,0.710925474760923,0.959964012651073
"New Mexico",2020-08-07,192,0.833000044487548,0.703897422281372,0.962102666693724
"New Mexico",2020-08-08,150,0.831420690712835,0.685496179108708,0.977345202316962
"New Mexico",2020-08-09,200,0.830698376597916,0.704378868198973,0.957017884996858
"New Mexico",2020-08-10,129,0.830850157411664,0.673549522790579,0.988150792032749
"New Mexico",2020-08-11,199,0.831914485392805,0.705185214561839,0.95864375622377
"New Mexico",2020-08-12,173,0.833923667964571,0.697840540110707,0.970006795818435
"New Mexico",2020-08-13,157,0.8368565385523,0.693756477536559,0.979956599568042
"New Mexico",2020-08-14,174,0.840589941897003,0.704357200187137,0.976822683606869
